name="World" type="Node3D" unique_id=2030415537
name="StoryDebugPanel" parent="." unique_id=1280067136 instance=ExtResource("37_dbgui")
name="InventoryPanel" parent="." unique_id=914774312 instance=ExtResource("40_invui")
name="QuestManager" type="Node" parent="." unique_id=2042070555
name="Environment" type="Node3D" parent="." unique_id=798983838
name="WorldEnvironment" type="WorldEnvironment" parent="Environment" unique_id=968299383
name="DirectionalLight3D" type="DirectionalLight3D" parent="Environment" unique_id=1273616688
name="NavigationRegion3D" type="NavigationRegion3D" parent="." unique_id=891761507
name="Ground" type="StaticBody3D" parent="NavigationRegion3D" unique_id=1241929213
name="MeshInstance3D" type="MeshInstance3D" parent="NavigationRegion3D/Ground" unique_id=110659215
name="CollisionShape3D" type="CollisionShape3D" parent="NavigationRegion3D/Ground" unique_id=1015181004
name="Home" type="Node3D" parent="." unique_id=1304162991
name="Home" type="StaticBody3D" parent="Home" unique_id=320646240
name="House_Demo_040" type="MeshInstance3D" parent="Home/Home" unique_id=750844822
name="CollisionShape3D" type="CollisionShape3D" parent="Home/Home" unique_id=862185482
name="House_Demo_001" type="MeshInstance3D" parent="Home/Home" unique_id=904789490
name="CollisionShape3D2" type="CollisionShape3D" parent="Home/Home" unique_id=1844536710
name="House_Demo_002" type="MeshInstance3D" parent="Home/Home" unique_id=632346714
name="CollisionShape3D3" type="CollisionShape3D" parent="Home/Home" unique_id=643443737
name="House_Demo_003" type="MeshInstance3D" parent="Home/Home" unique_id=688636425
name="CollisionShape3D4" type="CollisionShape3D" parent="Home/Home" unique_id=2109876596
name="House_Demo_004" type="MeshInstance3D" parent="Home/Home" unique_id=274775
name="CollisionShape3D5" type="CollisionShape3D" parent="Home/Home" unique_id=1233281588
name="House_Demo_005" type="MeshInstance3D" parent="Home/Home" unique_id=1318998038
name="CollisionShape3D6" type="CollisionShape3D" parent="Home/Home" unique_id=453853153
name="House_Demo_006" type="MeshInstance3D" parent="Home/Home" unique_id=467084330
name="CollisionShape3D7" type="CollisionShape3D" parent="Home/Home" unique_id=778385252
name="House_Demo_007" type="MeshInstance3D" parent="Home/Home" unique_id=672639438
name="CollisionShape3D8" type="CollisionShape3D" parent="Home/Home" unique_id=2085471408
name="House_Demo_008" type="MeshInstance3D" parent="Home/Home" unique_id=1190835659
name="CollisionShape3D9" type="CollisionShape3D" parent="Home/Home" unique_id=842781436
name="House_Demo_009" type="MeshInstance3D" parent="Home/Home" unique_id=1847868398
name="CollisionShape3D10" type="CollisionShape3D" parent="Home/Home" unique_id=477333510
name="House_Demo_010" type="MeshInstance3D" parent="Home/Home" unique_id=654063677
name="CollisionShape3D11" type="CollisionShape3D" parent="Home/Home" unique_id=2088748631
name="House_Demo_011" type="MeshInstance3D" parent="Home/Home" unique_id=2020118634
name="CollisionShape3D12" type="CollisionShape3D" parent="Home/Home" unique_id=618041937
name="House_Demo_012" type="MeshInstance3D" parent="Home/Home" unique_id=791860318
name="CollisionShape3D13" type="CollisionShape3D" parent="Home/Home" unique_id=208868007
name="House_Demo_013" type="MeshInstance3D" parent="Home/Home" unique_id=1492735889
name="CollisionShape3D14" type="CollisionShape3D" parent="Home/Home" unique_id=712034488
name="House_Demo_014" type="MeshInstance3D" parent="Home/Home" unique_id=1990874763
name="CollisionShape3D15" type="CollisionShape3D" parent="Home/Home" unique_id=1308118180
name="House_Demo_015" type="MeshInstance3D" parent="Home/Home" unique_id=450954651
name="CollisionShape3D16" type="CollisionShape3D" parent="Home/Home" unique_id=1173062289
name="House_Demo_016" type="MeshInstance3D" parent="Home/Home" unique_id=1826434593
name="CollisionShape3D17" type="CollisionShape3D" parent="Home/Home" unique_id=102986135
name="House_Demo_017" type="MeshInstance3D" parent="Home/Home" unique_id=1567763851
name="CollisionShape3D18" type="CollisionShape3D" parent="Home/Home" unique_id=416694516
name="House_Demo_018" type="MeshInstance3D" parent="Home/Home" unique_id=715366421
name="CollisionShape3D19" type="CollisionShape3D" parent="Home/Home" unique_id=924308589
name="House_Demo_019" type="MeshInstance3D" parent="Home/Home" unique_id=136984265
name="CollisionShape3D20" type="CollisionShape3D" parent="Home/Home" unique_id=1283195799
name="House_Demo_020" type="MeshInstance3D" parent="Home/Home" unique_id=299697584
name="CollisionShape3D21" type="CollisionShape3D" parent="Home/Home" unique_id=808108580
name="House_Demo_021" type="MeshInstance3D" parent="Home/Home" unique_id=255892672
name="CollisionShape3D22" type="CollisionShape3D" parent="Home/Home" unique_id=227698562
name="House_Demo_022" type="MeshInstance3D" parent="Home/Home" unique_id=461369264
name="CollisionShape3D23" type="CollisionShape3D" parent="Home/Home" unique_id=281922649
name="House_Demo_023" type="MeshInstance3D" parent="Home/Home" unique_id=1974680021
name="CollisionShape3D24" type="CollisionShape3D" parent="Home/Home" unique_id=1051653719
name="House_Demo_024" type="MeshInstance3D" parent="Home/Home" unique_id=2001239709
name="CollisionShape3D25" type="CollisionShape3D" parent="Home/Home" unique_id=1001675795
name="House_Demo_025" type="MeshInstance3D" parent="Home/Home" unique_id=991690731
name="CollisionShape3D26" type="CollisionShape3D" parent="Home/Home" unique_id=117229424
name="House_Demo_026" type="MeshInstance3D" parent="Home/Home" unique_id=1631236908
name="CollisionShape3D27" type="CollisionShape3D" parent="Home/Home" unique_id=504010403
name="House_Demo_027" type="MeshInstance3D" parent="Home/Home" unique_id=980181907
name="CollisionShape3D28" type="CollisionShape3D" parent="Home/Home" unique_id=217185676
name="House_Demo_028" type="MeshInstance3D" parent="Home/Home" unique_id=477813057
